recent_team,passing_tds,week,completions,attempts,passing_yards,passing_yards_after_catch,sacks,passing_epa
CLE,2,13,23,44,254,70,2,-7.791563930410868
CLE,3,14,26,45,311,158,1,-1.6544217481042307
CLE,2,15,28,44,374,158,4,-17.392163456001864
CLE,3,16,27,42,368,108,0,19.032988064660454
CLE,3,17,19,29,309,184,1,6.1975739089539275
LA,1,11,17,31,190,124,1,-4.574814941957867
LA,4,12,25,33,229,129,0,13.204231557474376
LA,3,13,22,37,279,148,0,5.319123742495321
LA,3,14,23,41,294,143,2,6.54873018331353
LA,2,15,25,33,258,141,3,7.874736452077675
LA,2,16,24,34,328,128,1,15.034519595255832
LA,1,17,24,34,317,235,4,0.8999966169358231
KC,0,18,15,30,154,109,1,-9.437241707955698
NYG,0,15,2,4,13,6,0,0.40001194594534706
NYG,1,16,7,16,133,41,0,0.5316355136455968
NYG,1,17,27,41,319,147,6,-2.061729279968789
NYG,1,18,23,32,297,137,1,9.55054857267519
HOU,1,15,23,36,229,103,3,-2.5340544037528776
HOU,0,16,11,17,62,43,3,-18.117274977848865
DEN,2,10,24,29,193,116,4,5.758063172628668
DEN,1,11,27,35,259,177,2,1.4860982910168274
DEN,1,12,13,22,134,67,1,4.45424141373951
DEN,1,13,15,26,186,88,3,-14.968118985611405
DEN,2,14,21,33,224,184,2,-2.21562039923466
DEN,1,15,18,32,223,137,2,-2.3929814262664877
DEN,2,16,25,37,238,152,5,-1.1267621187165258
TEN,0,16,18,26,152,87,6,-2.6874157276470214
TEN,0,17,16,20,168,105,5,-2.4355689408452954
TEN,2,18,17,26,168,123,2,0.881224628596101
SEA,2,10,31,47,369,257,1,5.205711377139459
SEA,1,11,22,34,233,114,2,5.416796529322654
SEA,0,12,18,27,180,70,6,-11.940727955094662
SEA,3,13,23,41,334,189,0,11.57318432268221
SEA,2,16,25,36,227,92,3,11.052164996637064
SEA,1,17,23,33,290,131,1,7.223915382146952
SEA,2,18,16,28,189,89,0,5.654846886358095
NO,0,10,13,18,110,56,2,-2.3130262496371943
NO,0,12,24,38,304,135,1,-1.2685188326217418
NO,1,13,17,22,226,107,2,7.331379322044086
NO,2,14,18,26,119,42,1,-9.563635846828335
NO,3,15,23,28,218,94,1,9.94775139906002
NO,3,16,27,40,319,90,2,0.7056747059687041
NO,2,17,24,32,197,101,1,9.247694994742734
NO,4,18,22,28,264,79,2,14.978746151984351
CIN,0,14,1,1,-1,0,0,-1.6931319367140532
CIN,0,18,3,4,20,20,1,-3.5579401078866795
LV,0,18,0,1,0,0,1,-2.135103028267622
NO,2,10,13,25,122,36,1,-4.560712916892953
NO,0,13,2,5,41,24,0,0.11323756276397036
ATL,1,10,8,15,55,40,3,-7.530447752532551
ATL,1,16,23,33,229,129,1,7.642198999814564
ATL,1,17,10,29,163,110,2,-6.314528683457766
NYJ,0,13,5,13,66,17,3,-7.564943343139021
NYJ,0,15,14,26,110,53,2,-9.411222703638488
NYJ,1,16,27,49,217,196,0,-15.972939805726302
NYJ,1,17,32,45,261,155,2,-10.637966791807788
NYJ,0,18,8,20,70,50,1,-11.007632592412085
PHI,0,13,2,3,16,11,0,-0.3476434804033488
PHI,1,18,13,20,148,61,3,-4.762452383960964
CLE,2,18,13,26,166,74,3,-10.95720804540906
LA,2,18,17,24,163,65,2,7.064853062212933
DAL,4,10,26,35,404,117,0,16.128327141632326
DAL,2,11,25,38,189,83,0,7.6395618677019
DAL,4,12,22,32,331,80,0,18.192239626375574
DAL,3,13,29,41,299,130,4,13.770497584657994
