recent_team,passing_tds,week,completions,attempts,passing_yards,passing_yards_after_catch,sacks,passing_epa
NYJ,0,1,0,1,0,0,1,-2.0319598843343556
LA,0,1,24,38,334,106,0,20.67998153272862
LA,1,2,34,55,307,144,1,-5.089192700477703
LA,1,3,18,33,269,99,6,-8.404790011332945
LA,1,4,27,40,319,114,2,11.37435107669372
LA,2,5,21,37,222,90,4,-2.536261009518057
LA,1,6,15,24,226,84,3,3.271050272125505
LA,1,7,14,29,231,112,2,-3.590840504016092
LA,1,8,13,22,162,93,1,-4.978713984668223
LV,0,6,6,10,102,24,0,4.752259165038733
LV,0,7,17,32,129,56,1,-13.533031918403136
KC,0,3,3,5,31,9,0,-6.706045397208072
CAR,2,3,34,58,361,128,3,4.548329591227218
NYG,0,1,2,2,6,16,0,-0.544656885205768
NYG,0,3,0,1,0,0,0,-0.6515430161962286
NYG,0,5,9,12,86,39,1,2.4409939376013767
NYG,0,6,24,36,200,72,3,-2.130479126713199
NYG,2,7,18,29,279,114,4,4.930734614199577
NYG,0,8,4,7,8,6,2,-10.349500579329142
DEN,2,1,27,34,177,78,2,2.355538343570046
DEN,3,2,18,32,308,110,7,3.3465051103927843
DEN,1,3,23,38,306,123,1,2.2087187350008812
DEN,3,4,21,28,223,137,1,14.21806286516332
DEN,2,5,20,31,196,148,4,-10.412276005515247
DEN,1,6,13,22,95,58,4,-18.298592432925943
DEN,1,7,20,29,194,88,1,4.095713499630485
DEN,3,8,12,19,114,72,6,-4.8447875870412584
MIN,2,1,33,44,344,145,2,0.32368977627827666
MIN,4,2,31,44,364,155,2,17.481337210163474
MIN,3,3,32,50,367,149,4,1.4202402869707438
MIN,2,4,12,19,139,47,2,-10.878062953648625
MIN,2,5,29,47,284,137,3,2.5681459510758153
MIN,1,6,21,31,181,81,2,-6.169656257693803
MIN,2,7,35,45,378,175,0,12.85741865847513
MIN,2,8,23,31,274,107,2,19.499932799483048
TEN,0,1,16,34,198,124,3,-12.0429618927599
TEN,1,2,20,24,246,63,5,1.4567640593870608
TEN,0,3,13,25,104,43,5,-14.025611756842377
TEN,1,4,18,25,240,86,3,7.165728041705081
TEN,0,5,23,34,264,115,1,9.329527414469329
TEN,0,6,8,16,76,49,2,-10.508053488856875
SEA,1,1,16,26,112,71,2,-4.389090738004491
SEA,2,2,32,41,328,118,1,14.869270530748487
SEA,1,3,23,36,296,150,2,5.2735152484276275
SEA,1,4,13,20,110,59,2,-9.127239332726395
SEA,0,6,27,41,326,142,4,-3.616049409648474
SEA,2,7,18,24,219,43,2,7.281663570599957
SEA,2,8,23,37,254,132,1,2.6245567447569806
SEA,0,9,13,28,157,57,4,-14.661981639171309
NO,1,1,23,33,305,103,4,3.6704846313371937
NO,0,2,21,36,228,63,4,-2.1891075282538184
NO,1,3,13,18,103,58,3,0.07446693118935999
NO,0,4,23,37,127,116,2,-12.751911281074792
NO,2,5,18,26,183,99,2,3.4477739772610976
NO,1,6,32,50,353,113,2,5.213855274451472
NO,1,7,33,55,301,176,1,-16.85071141964793
NO,2,8,19,27,310,138,1,13.525134789408185
NO,2,9,25,34,211,126,0,2.713006294238157
LV,2,1,20,26,200,62,0,13.086084981785486
LV,1,2,16,24,185,64,0,-2.0070985654510527
LV,2,3,28,44,324,87,4,-8.352473780592542
LV,1,5,22,31,208,126,3,-0.7268434750931592
LV,1,6,14,22,162,59,0,5.130306091690607
LV,0,8,10,21,126,70,6,-24.156507637933828
NO,0,3,10,16,101,25,1,-2.519490228338142
NO,0,4,0,1,0,0,0,-2.82205399236409
ATL,1,8,12,21,175,57,1,6.048243212197201
ATL,1,9,21,38,268,172,1,-1.4887448844313336
DAL,0,1,13,24,143,71,0,4.17848433913809
DAL,2,2,31,38,255,161,1,10.077872056186449
DAL,1,3,25,40,249,144,2,-3.659614854047325
DAL,1,4,28,34,261,109,3,3.933240894897108
DAL,1,5,14,24,153,75,3,-12.18878598313313
DAL,1,6,21,30,272,125,5,6.778182700220884
DAL,4,8,25,31,304,126,3,11.593556129590604
DAL,3,9,29,44,374,126,5,12.918436241445182
DET,1,1,22,35,253,109,1,6.543756803672295
DET,3,2,28,35,323,111,2,8.152201352508701
DET,1,3,22,33,243,66,0,2.7206899089548573
DET,1,4,19,28,210,96,2,2.4591233149722904
DET,3,5,20,28,236,121,2,5.771698093274608
DET,2,6,30,44,353,172,3,17.925803287663015
DET,0,7,33,53,284,141,5,-12.379357203666586
DET,1,8,26,37,272,176,0,2.3991140622339024
CLE,0,6,18,34,192,118,2,-14.264403022690107
CLE,0,7,15,32,178,94,2,-3.3300769146376688
CLE,1,8,15,31,248,160,3,-5.688340737857574
NO,0,2,1,1,8,3,0,0.5803323040599935
NO,0,4,1,1,13,5,1,-0.3197493079351261
NO,0,6,1,1,4,0,0,0.08685685053933412
NO,0,8,1,2,44,0,0,2.595579115615692
NO,1,9,1,1,3,0,0,0.8065087035065517
CLE,1,1,16,29,154,62,3,-10.871305896014098
CLE,1,2,22,40,235,99,6,-15.953177403144815
CLE,2,3,27,33,289,106,3,12.508116518452686
CLE,0,7,1,5,5,0,0,-5.8757238739635795
CLE,2,9,19,30,219,120,1,1.4342772680909022
DAL,0,1,0,1,0,0,0,-2.601653972407803
DAL,0,4,2,2,20,0,0,1.5769879361032508
DAL,0,5,2,2,8,7,1,-1.4217072618193924
DAL,0,8,2,3,3,10,0,-2.3172528342111036
PIT,0,4,3,5,18,12,0,-1.1255575283430517
PIT,1,8,15,27,138,82,2,-7.641714351077098
KC,2,1,21,39,226,113,0,-6.4536129623823655
KC,2,2,29,41,305,179,1,10.558776084871267
KC,3,3,24,33,272,117,0,20.917330593607605
KC,1,4,18,30,203,139,1,0.6326508337961019
KC,2,5,31,41,281,148,2,14.760243160670512
KC,1,6,30,40,306,208,2,4.571162276312816
KC,4,7,32,42,424,238,1,22.31995404173889
KC,0,8,24,38,240,154,3,-10.966318837583817
KC,2,9,20,30,185,116,2,1.3612226745462976
JAX,0,3,2,2,9,2,0,0.4268732601776719
ARI,0,1,21,30,132,63,3,-9.239667566276069
ARI,1,2,21,31,228,86,0,7.430885184349267
ARI,1,3,17,21,189,106,2,4.56063140622018
ARI,2,4,28,41,265,79,1,3.8983110031806874
ARI,2,5,15,32,166,84,3,-15.65153375652153
ARI,0,6,21,41,235,97,2,-17.462166118847428
ARI,0,7,19,33,146,60,4,-12.358147968825682
ARI,2,8,25,37,208,74,2,-8.744719452253776
MIN,2,9,20,30,158,66,3,-4.969575328276971
CHI,0,7,0,0,0,0,1,-0.09442649222910404
MIA,1,3,2,2,67,32,0,4.690234114881605
MIA,0,6,0,1,0,0,0,-8.976947910850868
BAL,0,1,17,22,169,84,4,-4.415662565714761
BAL,2,2,24,33,237,78,0,12.392853365532094
BAL,0,3,22,31,202,92,4,-7.2513471138071
BAL,2,4,15,19,186,85,3,6.872492622467689
BAL,0,5,22,38,236,68,4,-13.225236594514609
BAL,1,6,21,30,223,123,1,5.846638061230958
BAL,3,7,21,27,357,195,0,25.262835674511734
BAL,1,8,18,27,157,85,4,-4.98437022745088
BAL,0,9,21,26,187,69,1,-3.1819175304861713
TB,2,1,21,34,173,83,1,0.9109713025364148
TB,1,2,26,34,317,145,0,13.25848529643427
TB,1,3,15,25,146,56,2,0.5610822458160358
TB,3,4,25,32,246,132,1,8.84839650185313
TB,0,6,19,37,206,62,1,-8.300111832407799
TB,1,7,27,42,275,154,3,0.5751858274117692
TB,2,8,25,42,237,133,3,-1.0801537833780106
TB,2,9,21,30,265,114,2,10.579215147870128
BUF,1,1,29,41,236,132,5,-1.4093970255351735
BUF,3,2,31,37,274,153,2,13.21760739837191
BUF,1,3,20,32,218,77,0,5.211040452186173
BUF,4,4,21,25,320,163,2,22.19731426213972
BUF,2,5,27,40,359,70,0,14.9453127423767
BUF,2,6,19,30,169,68,0,1.2013992320389688
BUF,2,7,27,41,265,123,1,8.579465328659799
BUF,2,8,31,40,324,154,2,1.8202115608550784
BUF,1,9,26,38,258,141,1,3.596652031051859
SF,0,5,1,1,1,2,0,-1.055569262010977
LA,0,8,5,10,42,36,1,-5.129441424680408
LA,0,9,13,28,130,48,1,-14.595850082733032
CIN,0,1,0,1,0,0,0,-1.24702901893761
IND,0,1,0,2,0,0,0,-4.754616433085175
IND,1,2,19,23,171,76,0,8.907145353119489
IND,1,3,27,44,227,94,5,-8.418345229189796
IND,0,5,11,14,155,97,0,7.407801365479827
IND,1,6,33,55,329,178,3,-11.561452929262398
IND,2,7,15,23,305,171,4,0.7342462386582906
IND,2,8,23,41,213,77,2,-2.0379720588497103
IND,1,9,17,26,127,75,1,-1.0497175877787492
SEA,0,4,2,6,63,52,0,1.799429426464485
NYG,0,1,15,28,104,65,7,-22.697970342473127
NYG,2,2,26,37,321,103,3,8.180348059220705
NYG,0,3,22,32,137,59,2,-8.18383260950047
NYG,0,4,27,34,203,130,10,-29.01369021102904
NYG,0,5,14,20,119,65,6,-4.5957046443267755
NYG,0,9,4,9,25,18,2,-4.144154457608238
BAL,0,7,0,1,0,0,0,-0.9280543375061824
BAL,1,9,5,7,38,25,0,5.176841295120539
MIA,3,1,28,45,466,162,0,27.07833069664635
MIA,1,2,21,30,249,129,1,11.266563081514583
MIA,4,3,23,26,309,187,0,26.372212297806986
MIA,1,4,25,35,282,134,4,-3.48410618014168
MIA,2,5,22,30,308,235,1,-1.8441978553910436
MIA,3,6,21,31,262,124,0,16.12479107605759
MIA,1,7,23,32,216,52,3,-3.8402599184064217
MIA,3,8,30,45,324,145,2,12.581885234021849
MIA,1,9,21,34,193,73,3,0.5236871447996236
GB,3,1,15,27,245,149,1,17.795653510178614
GB,3,2,14,25,151,74,1,2.6311388129449607
GB,1,3,22,44,259,77,1,-2.9644087828989982
GB,1,4,23,36,246,49,5,-12.693179846350668
GB,0,5,16,30,182,131,2,-14.767112767702136
GB,2,7,21,31,180,112,0,7.5664805464003715
GB,1,8,24,41,229,121,4,-7.905982737080194
GB,1,9,20,26,228,104,4,8.078893333065578
LAC,1,1,23,33,229,122,3,-1.241065451304303
LAC,2,2,27,41,305,113,3,9.26494210589466
LAC,3,3,40,47,405,196,1,21.501615730756065
LAC,1,4,13,24,167,85,2,-3.676677308384192
LAC,2,6,22,37,227,131,1,-0.20592430754743463
LAC,1,7,17,30,259,95,5,0.5402288636620126
LAC,3,8,31,40,298,209,0,17.087563478392997
LAC,0,9,16,30,136,64,5,-6.611584542193967
PHI,1,1,22,33,170,64,3,-4.85952255143671
PHI,1,2,18,23,193,70,4,1.1131707055028528
PHI,1,3,23,37,277,129,1,1.7553614552587669
PHI,2,4,25,37,319,118,3,10.566899214391142
PHI,1,5,25,38,303,149,1,7.784427022446399
PHI,1,6,28,45,280,127,2,-6.5059565516402715
PHI,2,7,23,31,279,123,3,2.172574536059983
PHI,4,8,29,38,319,137,2,23.611318518510913
PHI,2,9,17,23,207,90,3,8.435014081711415
CIN,0,1,14,31,82,51,2,-18.635626889657797
CIN,2,2,27,41,222,142,1,1.572308320844988
CIN,0,3,26,49,259,136,2,-6.3870241614940735
CIN,0,4,20,30,165,108,3,-8.805660734302364
CIN,3,5,36,46,317,155,3,9.498447030530684
CIN,2,6,24,35,185,113,3,-3.312432660459075
CIN,3,8,28,32,283,126,3,13.392601461227596
CIN,2,9,31,44,348,183,1,12.65865346840559
CHI,1,1,24,37,216,130,4,-10.998732079244236
CHI,1,2,16,29,211,111,6,-8.620328064332805
CHI,1,3,11,22,99,40,3,-13.247832806431688
CHI,4,4,28,35,335,130,4,7.1422850987291895
CHI,4,5,15,29,282,157,3,11.5088239949803
CHI,0,6,6,10,58,34,4,-8.60774218969313
JAX,2,1,24,32,241,93,2,-9.001866828126367
JAX,0,2,22,41,216,109,4,-12.625911246076312
JAX,1,3,27,40,279,140,0,2.2051360300596072
JAX,1,4,23,30,207,85,2,4.4045161920384786
JAX,1,5,25,37,315,109,5,8.35737227689242
JAX,2,6,20,30,181,96,3,-3.67093885802549
JAX,1,7,20,29,204,144,0,4.5950666462427945
JAX,1,8,24,32,292,126,3,7.139634887643097
NE,3,1,35,54,316,190,2,-6.660893661319278
NE,1,2,31,42,231,96,4,-2.3766230029077766
NE,1,3,15,29,201,89,0,5.437647214136642
NE,0,4,12,21,150,61,1,-12.8416448108037
NE,0,5,12,22,110,40,2,-18.67695368431602
NE,0,6,24,33,200,141,3,-3.1864464957031884
NE,2,7,25,30,272,170,1,13.239483982002865
NE,2,8,19,29,161,83,3,-9.12733173041946
NE,1,9,24,44,220,124,0,-6.030163121383092
NYJ,1,1,14,21,140,92,2,-3.1895326425664656
NYJ,1,2,12,27,170,90,3,-18.485197545433778
NYJ,0,3,18,36,157,73,3,-15.248782486806231
NYJ,2,4,28,39,245,64,2,3.608918252683421
NYJ,0,5,19,26,199,108,4,-7.168929509143194
NYJ,0,6,19,33,186,96,5,-9.885183468243898
NYJ,1,8,17,36,240,117,4,-14.034994183657078
NYJ,0,9,33,49,263,118,8,-19.13270812645457
WAS,1,1,19,31,202,68,6,-13.413062730876792
WAS,2,2,27,39,299,160,4,7.249400672420453
WAS,0,3,19,29,170,38,9,-26.450667170560944
WAS,1,4,29,41,290,135,5,7.724412571688452
WAS,2,5,37,51,388,171,5,3.675322935908062
WAS,3,6,14,23,151,77,5,-0.1997386012117821
WAS,0,7,22,42,249,109,6,-14.697246201267244
WAS,4,8,39,52,397,166,1,3.5826236466527916
WAS,1,9,29,45,325,164,3,5.039729462119961
SF,2,1,19,29,220,54,3,6.5278640272773965
SF,0,2,17,25,206,93,1,3.2599135650464697
SF,2,3,25,37,310,202,2,16.46249543812681
SF,1,4,20,21,283,104,1,22.84409084377694
SF,4,5,17,24,252,110,1,18.54200110162492
SF,1,6,12,27,125,71,3,-10.562338488182686
SF,1,7,21,30,272,127,1,8.158350352013063
SF,1,8,22,31,365,171,2,-2.851934379665181
PIT,1,1,31,46,232,110,5,-20.120926569390576
PIT,1,2,15,30,222,151,2,-7.772112777774912
PIT,2,3,16,28,235,120,1,5.9215954580455765
PIT,0,4,15,23,114,78,3,-13.630709189599646
PIT,1,5,18,32,224,66,3,4.048525538584668
PIT,0,7,17,25,230,111,2,0.6385510045254286
PIT,0,8,10,16,73,15,1,-6.398177648077837
PIT,1,9,19,30,160,106,0,3.3539545370808663
NE,0,4,4,9,57,12,1,-2.9953646172221102
NE,0,5,3,9,22,13,0,-7.567776053445414
ATL,1,1,15,18,115,75,4,-4.450449751486303
ATL,1,2,19,32,237,105,1,3.119444441400778
ATL,0,3,21,38,201,86,7,-14.69095040827284
ATL,1,4,19,31,191,94,4,-19.31930863641901
ATL,1,5,28,37,329,123,0,14.121646988207342
ATL,2,6,28,47,307,112,3,-8.266498811313207
ATL,0,7,19,25,250,95,1,7.05915386592294
ATL,0,8,8,12,71,24,5,-10.739259789815335
TEN,0,6,4,5,74,55,4,-0.068276936013552
CHI,0,6,10,14,83,32,1,-16.589481437113136
CHI,1,7,21,29,162,111,1,5.508855066349271
CHI,0,8,25,37,232,116,1,-8.624904703930952
CHI,2,9,18,30,220,138,2,-3.6926080370794896
NYG,0,8,2,7,-1,11,2,-6.947000161278993
